Time (s),Angle φ (rad)
0.0,0.5235987755982988
0.02004008016032064,0.5232550057681885
0.04008016032064128,0.5222241476834053
0.06012024048096192,0.5205075549678506
0.08016032064128256,0.5181074816863301
0.1002004008016032,0.5150270793847324
0.12024048096192384,0.511270392951721
0.1402805611222445,0.5068423553073759
0.16032064128256512,0.5017487809257544
0.18036072144288576,0.4959963581998836
0.2004008016032064,0.48959264065920394
0.22044088176352705,0.4825460370509991
0.24048096192384769,0.47486580029883624
0.2605210420841683,0.4665620153525149
0.280561122244489,0.4576455859454787
0.3006012024048096,0.4481282202770792
0.32064128256513025,0.4380224156384919
0.3406813627254509,0.4273414420024733
0.3607214428857715,0.4160993245985059
0.3807615230460922,0.4043108254962129
0.4008016032064128,0.39199142422122574
0.42084168336673344,0.3791572974289556
0.4408817635270541,0.3658252976629631
0.4609218436873747,0.35201293122581495
0.48096192384769537,0.3377383351914876
0.501002004008016,0.32302025358950265
0.5210420841683366,0.30787801279206584
0.5410821643286573,0.29233149613653014
0.561122244488978,0.27640111781650556
0.5811623246492986,0.26010779607589896
0.6012024048096192,0.24347292574108412
0.6212424849699398,0.22651835012726879
0.6412825651302605,0.20926633235594963
0.6613226452905812,0.19173952612111805
0.6813627254509018,0.17396094594260303
0.7014028056112224,0.1559539369456129
0.721442885771543,0.13774214420615646
0.7414829659318637,0.11934948170259992
0.7615230460921844,0.1008001009141246
0.781563126252505,0.08211835910732287
0.8016032064128256,0.06332878735257291
0.8216432865731462,0.044456058312191606
0.8416833667334669,0.02552495384266269
0.8617234468937875,0.0065603324534808955
0.8817635270541082,-0.012412903334657253
0.9018036072144289,-0.031369839689452936
0.9218436873747494,-0.05028558418145886
0.9418837675350701,-0.06913529847042886
0.9619238476953907,-0.08789423092064219
0.9819639278557114,-0.1065377491023758
1.002004008016032,-0.12504137213684732
1.0220440881763526,-0.14338080284215557
1.0420841683366733,-0.16153195963800795
1.062124248496994,-0.17947100816734002
1.0821643286573146,-0.1971743925933062
1.1022044088176353,-0.21461886653054377
1.122244488977956,-0.23178152357009524
1.1422845691382766,-0.248639827357906
1.1623246492985972,-0.2651716411874015
1.1823647294589177,-0.28135525706728576
1.2024048096192383,-0.2971694242263929
1.222444889779559,-0.3125933770181589
1.2424849699398797,-0.32760686218807716
1.2625250501002003,-0.3421901654683273
1.282565130260521,-0.35632413746466046
1.3026052104208417,-0.3699902188015455
1.3226452905811623,-0.38317046449256
1.342685370741483,-0.39584756750402417
1.3627254509018036,-0.4080048814809361
1.3827655310621243,-0.41962644260536797
1.4028056112224447,-0.4306969905586196
1.4228456913827654,-0.44120198855960413
1.442885771543086,-0.45112764245315384
1.4629258517034067,-0.46046091882318085
1.4829659318637274,-0.4691895621069084
1.503006012024048,-0.47730211068769957
1.5230460921843687,-0.48478791194535215
1.5430861723446894,-0.49163713624409716
1.56312625250501,-0.4978407898399335
1.5831663326653307,-0.5033907266903488
1.6032064128256511,-0.508279659150921
1.6232464929859718,-0.5125011675447535
1.6432865731462925,-0.5160497085921788
1.6633266533066131,-0.5189206226896612
1.6833667334669338,-0.5211101400283413
1.7034068136272544,-0.5226153855441866
1.723446893787575,-0.5234343826932505
1.7434869739478958,-0.523566056047079
1.7635270541082164,-0.5230102327048611
1.783567134268537,-0.5217676425204654
1.8036072144288577,-0.5198399171440654
1.8236472945891782,-0.5172295878796139
1.8436873747494988,-0.5139400823609772
1.8637274549098195,-0.509975720051095
1.8837675350701402,-0.505341706570077
1.9038076152304608,-0.5000441268596811
1.9238476953907815,-0.4940899371931531
1.9438877755511021,-0.48748695604091524
1.9639278557114228,-0.4802438538041018
1.9839679358717435,-0.47237014142942035
2.004008016032064,-0.46387615792028936
2.024048096192385,-0.4547730567606508
2.0440881763527052,-0.4450727912692863
2.064128256513026,-0.4347880989038649
2.0841683366733466,-0.42393248453533783
2.1042084168336674,-0.412520202714636
2.124248496993988,-0.4005662389549641
2.1442885771543083,-0.38808629005426076
2.164328657314629,-0.3750967434836707
2.1843687374749496,-0.3616146558690918
2.2044088176352705,-0.3476577305940484
2.224448897795591,-0.33324429455330923
2.244488977955912,-0.3183932740877672
2.2645290581162323,-0.3031241701321849
2.284569138276553,-0.28745703260843936
2.3046092184368736,-0.2714124340978883
2.3246492985971945,-0.25501144282742955
2.344689378757515,-0.23827559500473156
2.3647294589178354,-0.22122686653894677
2.3847695390781563,-0.2038876441840613
2.4048096192384767,-0.18628069614275625
2.4248496993987976,-0.16842914216938934
2.444889779559118,-0.15035642321135287
2.464929859719439,-0.13208627062866923
