Time (s),Coordinate x (m),Coordinate y (m)
0.0,1.4999999999999998,-2.598076211353316
0.001,1.499997876072697,-2.5980774376021585
0.004321888399396255,1.4999603277580225,-2.5980991157290454
0.008730490614269766,1.4998381111467367,-2.5981696712015925
0.013139092829143276,1.499633334197541,-2.5982878714575803
0.029871579075355936,1.4981047961381053,-2.5991694865456387
0.04557891230020075,1.4955876785499294,-2.6006186755788776
0.05667705044205009,1.493177349374884,-2.602003344216572
0.06777518858389943,1.4902438362832808,-2.603684563925947
0.08458752962067974,1.4848033664077271,-2.606790931989813
0.10382559966890877,1.477105173820955,-2.6111607199617928
0.1230636697171378,1.4678354621235468,-2.616382819109725
0.1379840227345667,1.459564534312154,-2.621005793617816
0.1497950007111793,1.45234746435401,-2.6250117795515666
0.1639118174974025,1.442945343241781,-2.6301917679927582
0.18136602698187498,1.4301529244145283,-2.637169431945669
0.19910788259215942,1.415828141627254,-2.6448876485356494
0.2144068148775464,1.4024075726084901,-2.6520280919120047
0.2286006941831526,1.3890733150369936,-2.6590365408267966
0.2439958807776071,1.3736515666183116,-2.667036065284297
0.2614097784513281,1.3550080850214143,-2.6765561995831213
0.2793040106877279,1.334528421341104,-2.686825988528698
0.29644126546520155,1.3136644269293736,-2.697088388136421
0.3128670870955268,1.292523862635271,-2.707283151892021
0.3298384382204114,1.2695132255071178,-2.718149401755266
0.3476880942906848,1.2440398420639165,-2.7299019893319163
0.3668743057298877,1.2152173258894239,-2.7428537786144602
0.38668874090638694,1.1838994631339335,-2.756516290754219
0.4069488997331615,1.150267464358186,-2.7707191774775755
0.427837659984567,1.1139135078530034,-2.7855334672243472
0.44926910916573254,1.0748755317566594,-2.8008289114540155
0.4708766098268441,1.0337706267541735,-2.816259627816184
0.49248411048795565,0.9909549598128022,-2.831608777289397
0.5104468905558947,0.954093216748098,-2.844240871262144
0.5269434002234805,0.9192536043053626,-2.855691301764184
0.5445216744009878,0.8811186167861567,-2.8676872185008038
0.5625737538939952,0.8409039619671066,-2.8797361904778787
0.5792075439339529,0.8029377052938411,-2.890552030567428
0.5940949496663546,0.7682429828247685,-2.8999659858937172
0.6089572226835386,0.732958288245457,-2.909084417422827
0.6249658557972452,0.6942557661250507,-2.9185628194716218
0.6412636713860015,0.6541453212608782,-2.9278138428992593
0.6562943191753533,0.6165505380283153,-2.9359607344201684
0.6700587652490596,0.5816411099226759,-2.9430755374689133
0.6842592105343279,0.5451688895662343,-2.9500493015963545
0.6994416108860039,0.5056910830707739,-2.9570722900366726
0.7147408374803549,0.4654373360559179,-2.963674760530446
0.728951936869507,0.4276528036160156,-2.9693624028668815
0.7422822751125935,0.3918919122531368,-2.974293315917345
0.756257907865028,0.3540966334716285,-2.979029300655515
0.7709960452165278,0.3139343734488866,-2.9835289858098046
0.7856796835468428,0.2736431212701006,-2.987493839689311
0.7994582852827855,0.23561435280658188,-2.9907333342763205
0.8127131660266188,0.19885697828370763,-2.993402061566053
0.8259680467704521,0.16195552125153095,-2.9956252117273565
0.8392229275142854,0.12493651204589087,-2.99739734902797
0.852090761950751,0.08891134727845618,-2.9986821726093518
0.8649585963872165,0.052825214199784094,-2.9995348800680937
0.8778264308236821,0.01670283342520055,-2.9999535021992134
0.8906912688862415,-0.019422598858964718,-2.9999371264283177
0.903556106948801,-0.05553470569037082,-2.9994859387008646
0.9164209450113604,-0.09160872483469737,-2.998600980713513
0.9294033132946441,-0.12794858427539485,-2.9972702847167474
0.9423856815779278,-0.16419923771789877,-2.9955030646509417
0.9574100901965952,-0.2060075372713681,-2.992918457724406
0.9725442615553149,-0.24792737728866832,-2.989737783751408
0.9858034752140566,-0.28446322391097345,-2.986482994132428
0.998013034820215,-0.31792594110254474,-2.983106283050283
1.0115828301758132,-0.3548883313548598,-2.9789350903079757
1.0265685468769312,-0.3953968820653162,-2.973829400899293
1.0415667249525142,-0.43557816213592837,-2.9682101786548594
1.0553255651152333,-0.4720917291030099,-2.9626220480028413
1.0685673507305884,-0.5068938772504499,-2.95686634753856
1.0828163047215524,-0.5439448654429229,-2.9502752385766153
1.0979892713563277,-0.5829142972211352,-2.942823630817044
1.1132095331561662,-0.6214714530743396,-2.93492303698303
1.127843081918493,-0.6580088079158407,-2.926947968226493
1.1424412481348007,-0.6939093552709109,-2.9186452005455426
1.1576641626875737,-0.7307348828521751,-2.9096437120346956
1.1734229552114253,-0.7681696084572487,-2.8999854228327875
1.1893583928175635,-0.8052831051108881,-2.8898995000904426
1.2053812759270226,-0.8418197153672435,-2.879468625774387
1.2216643880170792,-0.8781189406478891,-2.868607175281316
1.238376826582349,-0.9144753264327413,-2.857225030925243
1.2555616812180455,-0.9508793232668064,-2.8453169441353423
1.2732165025438302,-0.9872142271247325,-2.8329151187006185
1.291389455838481,-1.0234584727298668,-2.8200235379509637
1.3101698658153118,-1.0596506657675986,-2.806624389999187
1.3296172325138127,-1.0957440079578515,-2.7927307548391567
1.3497013967261364,-1.131510452884824,-2.778431948961932
1.370253656893665,-1.1664938249728947,-2.7639269448189867
1.391834742050482,-1.2014388114634011,-2.7489170199016573
1.41279652485465,-1.2336002255214347,-2.7346353474622935
1.4337583076588178,-1.2639848538062728,-2.720724589029244
1.4529804176198515,-1.2902701801071454,-2.7083579642146596
1.4696883354310493,-1.3118815591833908,-2.697956036460589
1.486406560509077,-1.3323485783914304,-2.687907599910759
1.5045292854659778,-1.3532202096834363,-2.6774605625674273
1.5227637139486647,-1.372833851221634,-2.667457069371425
1.539457911726886,-1.3895666598009804,-2.658778760628527
