Time (s),Angle φ (rad)
0.0,0.5235987755982988
0.02004008016032064,0.523270494918982
0.04008016032064128,0.5222860259518511
0.06012024048096192,0.5206464884668849
0.08016032064128256,0.5183540352587648
0.1002004008016032,0.5154121670030568
0.12024048096192384,0.5118239130241429
0.1402805611222445,0.5075929773292206
0.16032064128256512,0.5027238589617132
0.18036072144288576,0.4972218520012698
0.2004008016032064,0.49109304556376493
0.22044088176352705,0.4843443238012991
0.24048096192384769,0.47698336590219836
0.2605210420841683,0.4690186460910146
0.280561122244489,0.46045943362852526
0.3006012024048096,0.45131579281173373
0.32064128256513025,0.4415985829738687
0.3406813627254509,0.43131945848438513
0.3607214428857715,0.4204908687489632
0.3807615230460922,0.40912605820950904
0.4008016032064128,0.39723906634415446
0.42084168336673344,0.38484472766725697
0.4408817635270541,0.37195867172939967
0.4609218436873747,0.35859712641016944
0.48096192384769537,0.3447746054386015
0.501002004008016,0.3305081705462882
0.5210420841683366,0.31581617257333955
0.5410821643286573,0.30071734629593183
0.561122244488978,0.2852308104263082
0.5811623246492986,0.2693760676127784
0.6012024048096192,0.2531730044397187
0.6212424849699398,0.23664189142757183
0.6412825651302605,0.21980338303284738
0.6613226452905812,0.20267851764812134
0.6813627254509018,0.18528871760203647
0.7014028056112224,0.16765578915930213
0.721442885771543,0.149801922520694
0.7414829659318637,0.13174969182305454
0.7615230460921844,0.11352205513929298
0.781563126252505,0.09514235447838487
0.8016032064128256,0.07663431578537272
0.8216432865731462,0.0580220489413652
0.8416833667334669,0.03933004776353771
0.8617234468937875,0.02058319000513248
0.8817635270541082,0.0018067373554581656
0.9018036072144289,-0.016973664560110013
0.9218436873747494,-0.035731986180130015
0.9418837675350701,-0.05444181400709358
0.9619238476953907,-0.07307635060742568
0.9819639278557114,-0.09160841461148439
1.002004008016032,-0.1100107691947324
1.0220440881763526,-0.12826958230034968
1.0420841683366733,-0.14636578948117174
1.062124248496994,-0.1642739285820107
1.0821643286573146,-0.18196919278925922
1.1022044088176353,-0.19942743063089025
1.122244488977956,-0.21662514597645705
