Time (s),Coordinate x (m),Coordinate y (m)
0.0,1.4999999999999998,-2.598076211353316
0.001,1.4999968141090458,-2.5980780507257117
0.011,1.49961450719732,-2.598298737597996
0.02873841812499791,1.4973687841469157,-2.5995935690531295
0.04038528336539765,1.494803910804641,-2.6010692547956413
0.05203214860579739,1.4913747273174094,-2.603036961458467
0.0644793551795056,1.486754494874429,-2.6056786202390123
0.07949331158687584,1.4798681620150687,-2.6095957968724095
0.09539297644110092,1.4710101625508205,-2.614599223910276
0.10956278435541145,1.4617592951636431,-2.6197823884824287
0.12215480705350207,1.452466039791406,-2.624946171496222
0.1359702993738277,1.4411094732868248,-2.6311981084675065
0.15146722137790333,1.4269272877409938,-2.6389161630298483
0.16722629271040795,1.410942057968605,-2.6474974049194824
0.18193299292724904,1.3946049844289286,-2.6561394800360265
0.19628057378023786,1.3773493413451685,-2.6651282880747225
0.21162074425948163,1.357464691407957,-2.675311124258392
0.2271767705942425,1.3357910851695571,-2.6861984619125847
0.24263722899547868,1.3127518174591617,-2.6975326996642073
0.2583712748101079,1.2877793962052229,-2.709543176756796
0.2746698143386836,1.2602995770671854,-2.7224336495210073
0.2915454442242833,1.2301334291321875,-2.7361965840435296
0.30896448844293656,1.1971866805679658,-2.7507715375637156
0.32696086482004966,1.1612422272860996,-2.7661374675832024
0.34548274482519264,1.1222569351369125,-2.782182483507704
0.36423540430803203,1.0807662091091594,-2.79856113051829
0.382424198305535,1.0386236264918818,-2.8144734787332517
0.39922111683210526,0.9980849696671444,-2.829103461049903
0.414648232167553,0.9595165768915717,-2.8424158630767398
0.42962781471343814,0.9208768000664367,-2.8551682820981688
0.4449854082331535,0.8800807259762522,-2.8680059127841986
0.4603187974883955,0.8381953493310419,-2.880525743047582
0.47458120841314566,0.798238241947257,-2.891853334644231
0.48773679277647025,0.760562292735389,-2.901989834384176
0.5010002428296675,0.7218129721362014,-2.9118698517029378
0.5155979025874472,0.6783177910894029,-2.9223081586806705
0.5299357797042209,0.634775086286573,-2.9320744516178108
0.5424389673324536,0.5961756802751865,-2.9401657365272587
0.5544047821764263,0.5587176960144424,-2.9475132800651833
0.5678578908996545,0.5160358849125288,-2.9552845828250005
0.5822583903785506,0.4697286632620135,-2.962997634644702
0.59524059768267,0.42747666531847045,-2.9693877652823
0.6062969737134092,0.39114617440912125,-2.974391478982765
0.6180507290437369,0.3522052782958446,-2.979253504141724
0.6317211203656581,0.3065422829643687,-2.9842975436031
0.6459000709653226,0.25880956966301194,-2.988815418631744
0.6575978976355813,0.21918545871808398,-2.9919822417064452
0.6680552703599508,0.18360526112558304,-2.994376246914717
0.6785126430843204,0.1479007610474785,-2.996352009507824
0.6909448324105854,0.10532516033834319,-2.9981505316777906
0.7033770217368503,0.06264848372309767,-2.9993457899160605
0.714542797474266,0.024266614306176326,-2.9999018536329065
0.7257085732116816,-0.01413406663591654,-2.9999667045085756
0.7392192543982732,-0.06058177279655993,-2.9993882457602585
0.7527299355848648,-0.10696075230532548,-2.9980926265654766
0.7667803601028848,-0.15506322762100755,-2.9959898857371883
0.7808307846209047,-0.20297597000870182,-2.99312558299832
0.7953061351081552,-0.2520779773847596,-2.989390689307289
0.8069385579107309,-0.2913033907658121,-2.9858235605152865
0.8172041261750967,-0.32571937800230344,-2.9822653950971096
0.8296259560631478,-0.36708094880299413,-2.977457233450324
0.8441050868241939,-0.41485359789411613,-2.971177627189986
0.8576587198815955,-0.45909486953419254,-2.964663876524183
0.8688660618731602,-0.49529441212401326,-2.9588314323932914
0.8801974891422145,-0.531514123139464,-2.9525400483148574
0.8937867580892838,-0.5744098690444397,-2.9444954240656873
0.9085647198251442,-0.6203405731289869,-2.935162273764436
0.9218255850821013,-0.6608771573819849,-2.9263016561610184
0.9333154053289296,-0.6954508462490068,-2.918278280159604
0.946169194932069,-0.7334947732107793,-2.908949194756078
0.9611278487402336,-0.7768858595494877,-2.8976625685597117
0.9759090905846135,-0.8187864436171053,-2.8861026939020835
0.9890549678859706,-0.8552018827865824,-2.875522515939969
1.0025419679777439,-0.8917007058572399,-2.8644143993446782
1.0179431410769189,-0.9322765675409046,-2.8514663598952317
1.033755950009051,-0.9726735518442285,-2.837940478858347
1.0489615234421774,-1.010275681122129,-2.824773096751884
1.064464354642724,-1.0473240181067505,-2.811247481296647
1.0809417750098131,-1.0852403091881722,-2.796829181647168
1.0982775093663704,-1.1234702122015638,-2.7816927728086327
1.1161812386574816,-1.161128023352728,-2.7661854083529893
1.1345884906880026,-1.1978766996182686,-2.7504711255549745
1.153315932174053,-1.2331841505351047,-2.734823001744174
1.1717749232716352,-1.265904207181506,-2.71983207905197
1.1892009692363448,-1.2948762196047148,-2.706158823111127
1.205492766175045,-1.320263641391712,-2.693864123748467
1.2211858584465036,-1.3431551704825355,-2.6825238466798442
1.2368356546819046,-1.3644479151768718,-2.6717563299764984
1.252404583111039,-1.3841023685832265,-2.6616274407366447
1.2674565243544795,-1.401649942013019,-2.652428592828618
1.2825282338471218,-1.417784198194312,-2.643839625875677
1.298060548898575,-1.4329045166889625,-2.635675368108202
1.31357604001648,-1.4464787976343523,-2.6282501950906867
1.3283043673573867,-1.4579482920149887,-2.621905180934382
1.3423691250720633,-1.4676125604572492,-2.6165078582698937
1.3567832005914449,-1.476210078382593,-2.611666863227707
1.371714868645222,-1.4837209187097633,-2.607407186341069
1.386650603145796,-1.4898128947305218,-2.6039311701146515
1.4009401556172532,-1.494310936941329,-2.601352498939259
1.4147672824809947,-1.4974248629192473,-2.5995612668123966
